Item ID;Book Title;Author;Price
1;Border of Time;Sigit Rendang;Rp200.000
2;Learning From The Titans;Roger Sumatra;Rp310.000
3;Blood at History;Slamet Kopling;Rp200.000
4;Achievement of The Forsaken;Roger Sumatra;Rp180.000
5;The Goddess Desire;Tiara Alenka;Rp225.000
6;Life at My Past;Agus Tiger;Rp190.000
7;Slaves of Rainbows;Sigit Rendang;Rp280.000
8;The Oohihi and Aihayaha;Icikiwir;Rp275.000
9;Descendant of Hopes;Slamet Kopling;Rp250.000
10;Agent of Despair;Agus Tiger;Rp200.000
11;Moona Hoshinova;Tiara Alenka;Rp185.000
12;Moona Hoshinova and The Descendant of Rabbit;Tiara Alenka;Rp185.000
13;Books In Apartment B;Rizal Kalimantan;Rp225.000
14;Wolves and Bandits;Roger Sumatra;Rp190.000
15;Essence of The West;Slamet Kopling;Rp165.000
16;Abandoned On Moondust;Agus Tiger;Rp210.000
17;Moona Hoshinova: The Origin;Tiara Alenka;Rp200.000
18;Border of Nowhere;Sigit Rendang;Rp195.000
19;Pig Wish;Icikiwir;Rp320.000
20;How to Feel Free;Icikiwir;Rp240.000
21;Pray For The Night;Rizal Kalimantan;Rp230.000
22;The Idol Show;Tiara Alenka;Rp215.000
23;Guests of The New World;Rizal Kalimantan;Rp160.000
24;Alien From Outer Space;Tiara Alenka;Rp190.000
25;Squirrel in The Magical Forest;Tiara Alenka;Rp190.000
